"team","status","date"
"Wheelock College","Away",2014-12-06
"Miami (OH)","Away",2014-12-06
"Crowley's Ridge","Away",2014-12-06
"Wake Forest","Away",2014-12-06
"Bryant","Away",2014-12-06
"Savannah State","Away",2014-12-06
"Portland State","Away",2014-12-06
"George Mason","Away",2014-12-06
"Abil Christian","Away",2014-12-06
"Fair Dickinson","Away",2014-12-06
"Alabama","Away",2014-12-06
"URI","Away",2014-12-06
"St. Edward's","Away",2014-12-06
"LA-Lafayette","Away",2014-12-06
"Louisiana Coll.","Away",2014-12-06
"IUPUI","Away",2014-12-06
"New Mexico","Away",2014-12-06
"Belhaven","Away",2014-12-06
"Austin Peay","Away",2014-12-06
"St. Katherine","Away",2014-12-06
"UTEP","Away",2014-12-06
"Pepperdine","Away",2014-12-06
"Selma","Away",2014-12-06
"U of Great Falls","Away",2014-12-06
"Pacific","Away",2014-12-06
"Bradley","Away",2014-12-06
"Utah Valley","Away",2014-12-06
"Oregon State","Away",2014-12-06
"Fresno State","Away",2014-12-06
"Santa Clara","Away",2014-12-06
"Menlo","Away",2014-12-06
"Vanguard","Away",2014-12-06
"Sacramento St","Away",2014-12-06
"E Washington","Away",2014-12-06
"Boise State","Away",2014-12-06
"Michigan","Home",2014-12-06
"South Carolina","Home",2014-12-06
"Temple","Home",2014-12-06
"Kennesaw St","Home",2014-12-06
"Georgia Tech","Home",2014-12-06
"Seton Hall","Home",2014-12-06
"Marquette","Home",2014-12-06
"Villanova","Home",2014-12-06
"The Citadel","Home",2014-12-06
"Cent Michigan","Home",2014-12-06
"Troy","Home",2014-12-06
"Iowa","Home",2014-12-06
"VCU","Home",2014-12-06
"Miami (FL)","Home",2014-12-06
"Maryland","Home",2014-12-06
"Illinois","Home",2014-12-06
"Boston U","Home",2014-12-06
"UIC","Home",2014-12-06
"Ball State","Home",2014-12-06
"FSU","Home",2014-12-06
"South Dakota St","Home",2014-12-06
"Texas A&M-CC","Home",2014-12-06
"LIU Brooklyn","Home",2014-12-06
"Lafayette","Home",2014-12-06
"Toledo","Home",2014-12-06
"Dayton","Home",2014-12-06
"Ohio","Home",2014-12-06
"Purdue","Home",2014-12-06
"Presbyterian","Home",2014-12-06
"Liberty","Home",2014-12-06
"Binghamton","Home",2014-12-06
"Texas A&M","Home",2014-12-06
"Morehead State","Home",2014-12-06
"St Francis (PA)","Home",2014-12-06
"Tulane","Home",2014-12-06
"Howard","Home",2014-12-06
"South Alabama","Home",2014-12-06
"Michigan State","Home",2014-12-06
"Wofford","Home",2014-12-06
"UT-Arlington","Home",2014-12-06
"Niagara","Home",2014-12-06
"Detroit","Home",2014-12-06
"Dartmouth","Home",2014-12-06
"Washington St","Home",2014-12-06
"Drake","Home",2014-12-06
"Tennessee","Home",2014-12-06
"Sacred Heart","Home",2014-12-06
"Bowling Green","Home",2014-12-06
"Bethune-Cookman","Home",2014-12-06
"Davidson","Home",2014-12-06
"Furman","Home",2014-12-06
"Mercer","Home",2014-12-06
"Alabama State","Home",2014-12-06
"Northeastern","Home",2014-12-06
"OSU","Home",2014-12-06
"Butler","Home",2014-12-06
"Princeton","Home",2014-12-06
"Cornell","Home",2014-12-06
"Idaho","Home",2014-12-06
"Lipscomb","Home",2014-12-06
"Longwood","Home",2014-12-06
"Texas State","Home",2014-12-06
"Arizona","Home",2014-12-06
"Syracuse","Home",2014-12-06
"Sam Houston","Home",2014-12-06
"Nicholls State","Home",2014-12-06
"Wichita State","Home",2014-12-06
"BYU","Home",2014-12-06
"Marshall","Home",2014-12-06
"S Carolina St","Home",2014-12-06
"Hampton","Home",2014-12-06
"Norfolk State","Home",2014-12-06
"Murray State","Home",2014-12-06
"Columbia","Home",2014-12-06
"Loyola (MD)","Home",2014-12-06
"Gardner-Webb","Home",2014-12-06
"High Point","Home",2014-12-06
"LA Tech","Home",2014-12-06
"UVM","Home",2014-12-06
"SE Missouri St","Home",2014-12-06
"Hartford","Home",2014-12-06
"UNH","Home",2014-12-06
"IPFW","Home",2014-12-06
"New Orleans","Home",2014-12-06
"NC State","Home",2014-12-06
"Brown","Home",2014-12-06
"Indiana","Home",2014-12-06
"UC Riverside","Home",2014-12-06
"Northern Iowa","Home",2014-12-06
"Houston","Home",2014-12-06
"Notre Dame","Home",2014-12-06
"Xavier","Home",2014-12-06
"Southern Miss","Home",2014-12-06
"Rice","Home",2014-12-06
"McNeese State","Home",2014-12-06
"UL Monroe","Home",2014-12-06
"Evansville","Home",2014-12-06
"Valparaiso","Home",2014-12-06
"Arkansas State","Home",2014-12-06
"S Illinois","Home",2014-12-06
"Southern Utah","Home",2014-12-06
"New Mexico St","Home",2014-12-06
"CS Fullerton","Home",2014-12-06
"Grambling St","Home",2014-12-06
"Grand Canyon","Home",2014-12-06
"Idaho State","Home",2014-12-06
"Memphis","Home",2014-12-06
"Montana State","Home",2014-12-06
"Portland","Home",2014-12-06
"CSU Bakersfield","Home",2014-12-06
"San Jose State","Home",2014-12-06
"Cal Poly","Home",2014-12-06
"CS Northridge","Home",2014-12-06
"UC Irvine","Home",2014-12-06
"Seattle","Home",2014-12-06
"Saint Mary's","Home",2014-12-06
"Towson","Away",2014-12-07
"Colorado","Away",2014-12-07
"Delaware State","Away",2014-12-07
"Fairfield","Away",2014-12-07
"W Illinois","Away",2014-12-07
"Buffalo","Away",2014-12-07
"N Colorado","Away",2014-12-07
"Marist","Away",2014-12-07
"Siena","Away",2014-12-07
"Milwaukee","Away",2014-12-07
"FGCU","Away",2014-12-07
"Limestone","Away",2014-12-07
"Richmond","Away",2014-12-07
"Hofstra","Away",2014-12-07
"Central Penn","Away",2014-12-07
"Charlotte","Away",2014-12-07
"ECU","Away",2014-12-07
"Illinois State","Away",2014-12-07
"Tulsa","Away",2014-12-07
"Radford","Away",2014-12-07
"Hiwassee College","Away",2014-12-07
"Cal","Away",2014-12-07
"Regis Univ","Away",2014-12-07
"Ole Miss","Away",2014-12-07
"Ouachita Baptist","Away",2014-12-07
"Thiel","Away",2014-12-07
"Iona","Away",2014-12-07
"Arkansas","Away",2014-12-07
"Houston Baptist","Away",2014-12-07
"Utah State","Away",2014-12-07
"E Kentucky","Away",2014-12-07
"West Virginia","Away",2014-12-07
"NC Central","Away",2014-12-07
"San Diego","Away",2014-12-07
"Creighton","Away",2014-12-07
"Urbana","Away",2014-12-07
"San Diego State","Away",2014-12-07
"North Dakota St","Away",2014-12-07
"Missouri State","Away",2014-12-07
"Georgetown","Home",2014-12-07
"Georgia","Home",2014-12-07
"Delaware","Home",2014-12-07
"Quinnipiac","Home",2014-12-07
"Cleveland State","Home",2014-12-07
"Robert Morris","Home",2014-12-07
"Colorado State","Home",2014-12-07
"Manhattan","Home",2014-12-07
"Rider","Home",2014-12-07
"DePaul","Home",2014-12-07
"UMass","Home",2014-12-07
"UNC Asheville","Home",2014-12-07
"JMU","Home",2014-12-07
"Appalachian St","Home",2014-12-07
"Elon","Home",2014-12-07
"G Washington","Home",2014-12-07
"UNC","Home",2014-12-07
"UAB","Home",2014-12-07
"AR-Little Rock","Home",2014-12-07
"VT","Home",2014-12-07
"Tenn Tech","Home",2014-12-07
"Nevada","Home",2014-12-07
"Wyoming","Home",2014-12-07
"Oregon","Home",2014-12-07
"SF Austin","Home",2014-12-07
"Youngstown St","Home",2014-12-07
"Monmouth","Home",2014-12-07
"Clemson","Home",2014-12-07
"San Francisco","Home",2014-12-07
"USC","Home",2014-12-07
"Kentucky","Home",2014-12-07
"N Kentucky","Home",2014-12-07
"Howard","Home",2014-12-07
"UCLA","Home",2014-12-07
"Nebraska","Home",2014-12-07
"Wright State","Home",2014-12-07
"Washington","Home",2014-12-07
"Montana","Home",2014-12-07
"Oral Roberts","Home",2014-12-07
"Kennesaw St","Away",2014-12-08
"Savannah State","Away",2014-12-08
"IPFW","Away",2014-12-08
"Albany","Away",2014-12-08
"Sacred Heart","Away",2014-12-08
"Boston U","Away",2014-12-08
"Montreat","Away",2014-12-08
"Joh. & Wales NC","Away",2014-12-08
"Yale","Away",2014-12-08
"Caldwell","Away",2014-12-08
"Coppin State","Away",2014-12-08
"Bethune-Cookman","Away",2014-12-08
"NC A&T","Away",2014-12-08
"UCSB","Away",2014-12-08
"Morgan State","Away",2014-12-08
"North Dakota","Away",2014-12-08
"Omaha","Away",2014-12-08
"Brown","Away",2014-12-08
"Incarnate Word","Away",2014-12-08
"Butler","Home",2014-12-08
"Miami (FL)","Home",2014-12-08
"Purdue","Home",2014-12-08
"Bucknell","Home",2014-12-08
"Lafayette","Home",2014-12-08
"Harvard","Home",2014-12-08
"Chattanooga","Home",2014-12-08
"Campbell","Home",2014-12-08
"Florida","Home",2014-12-08
"Binghamton","Home",2014-12-08
"Norfolk State","Home",2014-12-08
"S Carolina St","Home",2014-12-08
"MD-E Shore","Home",2014-12-08
"SMU","Home",2014-12-08
"Hampton","Home",2014-12-08
"Minnesota","Home",2014-12-08
"Air Force","Home",2014-12-08
"Providence","Home",2014-12-08
"UTEP","Home",2014-12-08
"Villanova","Away",2014-12-09
"Seton Hall","Away",2014-12-09
"UMKC","Away",2014-12-09
"Mt St Mary's","Away",2014-12-09
"IUPUI","Away",2014-12-09
"Bryant","Away",2014-12-09
"Morrisville State","Away",2014-12-09
"VMI","Away",2014-12-09
"Loyola (MD)","Away",2014-12-09
"Bowling Green","Away",2014-12-09
"Mars Hill","Away",2014-12-09
"LIU Brooklyn","Away",2014-12-09
"UNH","Away",2014-12-09
"Hartford","Away",2014-12-09
"St Francis (BKN)","Away",2014-12-09
"Bradley","Away",2014-12-09
"Furman","Away",2014-12-09
"Marist","Away",2014-12-09
"Evansville","Away",2014-12-09
"South Dakota St","Away",2014-12-09
"Northwestern St","Away",2014-12-09
"Utah Valley","Away",2014-12-09
"Texas A&M","Away",2014-12-09
"Idaho State","Away",2014-12-09
"E Michigan","Away",2014-12-09
"Alcorn State","Away",2014-12-09
"Adams St.","Away",2014-12-09
"South Dakota","Away",2014-12-09
"Indiana","Away",2014-12-09
"St. Katherine","Away",2014-12-09
"E Illinois","Away",2014-12-09
"Illinois","Home",2014-12-09
"Wichita State","Home",2014-12-09
"Iowa State","Home",2014-12-09
"Notre Dame","Home",2014-12-09
"Xavier","Home",2014-12-09
"Army","Home",2014-12-09
"Colgate","Home",2014-12-09
"Navy","Home",2014-12-09
"Saint Joe's","Home",2014-12-09
"Dayton","Home",2014-12-09
"Winthrop","Home",2014-12-09
"Maine","Home",2014-12-09
"Rutgers","Home",2014-12-09
"Holy Cross","Home",2014-12-09
"NJIT","Home",2014-12-09
"Kansas State","Home",2014-12-09
"TCU","Home",2014-12-09
"Penn","Home",2014-12-09
"Belmont","Home",2014-12-09
"Saint Louis","Home",2014-12-09
"UL Monroe","Home",2014-12-09
"Arizona","Home",2014-12-09
"Baylor","Home",2014-12-09
"Grand Canyon","Home",2014-12-09
"Michigan","Home",2014-12-09
"Iowa","Home",2014-12-09
"Boise State","Home",2014-12-09
"Creighton","Home",2014-12-09
"Louisville","Home",2014-12-09
"San Jose State","Home",2014-12-09
"UC Davis","Home",2014-12-09
"Greensboro","Away",2014-12-10
"Columbia","Away",2014-12-10
"Kansas","Away",2014-12-10
"High Point","Away",2014-12-10
"NC Central","Away",2014-12-10
"Monmouth","Away",2014-12-10
"Rider","Away",2014-12-10
"URI","Away",2014-12-10
"Campbell","Away",2014-12-10
"UMBC","Away",2014-12-10
"Arkansas State","Away",2014-12-10
"Hofstra","Away",2014-12-10
"Fair Dickinson","Away",2014-12-10
"Princeton","Away",2014-12-10
"S Illinois","Away",2014-12-10
"SEOkla St","Away",2014-12-10
"Towson","Away",2014-12-10
"Iowa Wesleyan","Away",2014-12-10
"Southern","Away",2014-12-10
"Dartmouth","Away",2014-12-10
"LA Tech","Away",2014-12-10
"Incarnate Word","Away",2014-12-10
"TrinIntl","Away",2014-12-10
"Wisconsin","Away",2014-12-10
"Utah","Away",2014-12-10
"Northern Iowa","Away",2014-12-10
"Fresno State","Away",2014-12-10
"Davidson","Away",2014-12-10
"Duquesne","Away",2014-12-10
"Colorado State","Away",2014-12-10
"LBSU","Away",2014-12-10
"Washington St","Away",2014-12-10
"Wyoming","Away",2014-12-10
"UC Riverside","Away",2014-12-10
"UNC Greensboro","Home",2014-12-10
"Kentucky","Home",2014-12-10
"Georgetown","Home",2014-12-10
"OSU","Home",2014-12-10
"Maryland","Home",2014-12-10
"Fordham","Home",2014-12-10
"Iona","Home",2014-12-10
"Providence","Home",2014-12-10
"Delaware State","Home",2014-12-10
"Cent Conn St","Home",2014-12-10
"Purdue","Home",2014-12-10
"Coppin State","Home",2014-12-10
"St John's","Home",2014-12-10
"St Peter's","Home",2014-12-10
"SE Missouri St","Home",2014-12-10
"Tulsa","Home",2014-12-10
"Temple","Home",2014-12-10
"Omaha","Home",2014-12-10
"Minnesota","Home",2014-12-10
"UMass Lowell","Home",2014-12-10
"LA-Lafayette","Home",2014-12-10
"Nebraska","Home",2014-12-10
"Valparaiso","Home",2014-12-10
"Milwaukee","Home",2014-12-10
"BYU","Home",2014-12-10
"Denver","Home",2014-12-10
"Texas Tech","Home",2014-12-10
"Montana","Home",2014-12-10
"Penn State","Home",2014-12-10
"Colorado","Home",2014-12-10
"San Diego State","Home",2014-12-10
"Gonzaga","Home",2014-12-10
"Cal","Home",2014-12-10
"UCLA","Home",2014-12-10
"Chattanooga","Away",2014-12-11
"Mich-Dearborn","Away",2014-12-11
"Binghamton","Away",2014-12-11
"Maine","Away",2014-12-11
"DePaul","Away",2014-12-11
"Warren Wilson","Away",2014-12-11
"Tusculum","Away",2014-12-11
"Wright State","Away",2014-12-11
"Elon","Away",2014-12-11
"S Carolina St","Away",2014-12-11
"UCF","Away",2014-12-11
"Idaho","Away",2014-12-11
"Fort Valley St","Away",2014-12-11
"NW Nazarene","Away",2014-12-11
"E Washington","Away",2014-12-11
"San Diego","Away",2014-12-11
"CS Fullerton","Away",2014-12-11
"The Citadel","Home",2014-12-11
"IPFW","Home",2014-12-11
"Colgate","Home",2014-12-11
"Boston College","Home",2014-12-11
"G Washington","Home",2014-12-11
"Coast Carolina","Home",2014-12-11
"UNC Asheville","Home",2014-12-11
"Belmont","Home",2014-12-11
"Missouri","Home",2014-12-11
"Charleston","Home",2014-12-11
"UIC","Home",2014-12-11
"W Illinois","Home",2014-12-11
"Troy","Home",2014-12-11
"Boise State","Home",2014-12-11
"San Francisco","Home",2014-12-11
"UCSB","Home",2014-12-11
"Sacramento St","Home",2014-12-11
"Charleston So","Away",2014-12-12
"Texas Southern","Away",2014-12-12
"NJIT","Away",2014-12-12
"Iowa State","Away",2014-12-12
"NC State","Home",2014-12-12
"Florida","Home",2014-12-12
"Holy Cross","Home",2014-12-12
"Iowa","Home",2014-12-12
"USC Upstate","Away",2014-12-13
"UNC","Away",2014-12-13
"Wichita State","Away",2014-12-13
"Radford","Away",2014-12-13
"Stony Brook","Away",2014-12-13
"Morehead State","Away",2014-12-13
"Marist","Away",2014-12-13
"E Kentucky","Away",2014-12-13
"La Salle","Away",2014-12-13
"Indiana State","Away",2014-12-13
"Alcorn State","Away",2014-12-13
"St Bonaventure","Away",2014-12-13
"Bluefield","Away",2014-12-13
"Montreat","Away",2014-12-13
"Dayton","Away",2014-12-13
"Delaware State","Away",2014-12-13
"Norfolk State","Away",2014-12-13
"Pepperdine","Away",2014-12-13
"Mt. St. Vincent","Away",2014-12-13
"Murray State","Away",2014-12-13
"Saint Mary's","Away",2014-12-13
"Oklahoma","Away",2014-12-13
"Nicholls State","Away",2014-12-13
"Centenary","Away",2014-12-13
"Omaha","Away",2014-12-13
"Utah","Away",2014-12-13
"Loyola Mary","Away",2014-12-13
"Canisius","Away",2014-12-13
"Cleveland State","Away",2014-12-13
"Xavier","Away",2014-12-13
"UNC Greensboro","Away",2014-12-13
"Duquesne","Away",2014-12-13
"AR-Pine Bluff","Away",2014-12-13
"Ark Fort Smith","Away",2014-12-13
"Miss St","Away",2014-12-13
"CSU Bakersfield","Away",2014-12-13
"W Kentucky","Away",2014-12-13
"Drake","Away",2014-12-13
"JMU","Away",2014-12-13
"Idaho","Away",2014-12-13
"Lipscomb","Away",2014-12-13
"Grand Canyon","Away",2014-12-13
"Northern New Mexico","Away",2014-12-13
"Youngstown St","Away",2014-12-13
"Michigan","Away",2014-12-13
"Oklahoma State","Away",2014-12-13
"N Colorado","Away",2014-12-13
"Denver","Away",2014-12-13
"Howard","Away",2014-12-13
"Northern Iowa","Away",2014-12-13
"Niagara","Away",2014-12-13
"Rider","Away",2014-12-13
"Missouri State","Away",2014-12-13
"Arkansas State","Away",2014-12-13
"Mid Tennessee","Away",2014-12-13
"Furman","Away",2014-12-13
"SIU-ED","Away",2014-12-13
"Oregon","Away",2014-12-13
"Sam Houston","Away",2014-12-13
"Albany","Away",2014-12-13
"Navy","Away",2014-12-13
"Texas State","Away",2014-12-13
"FSU","Away",2014-12-13
"McNeese State","Away",2014-12-13
"North Dakota","Away",2014-12-13
"Jackson State","Away",2014-12-13
"FAU","Away",2014-12-13
"New Mexico St","Away",2014-12-13
"UNLV","Away",2014-12-13
"Alabama State","Away",2014-12-13
"Ball State","Away",2014-12-13
"N Illinois","Away",2014-12-13
"Lamar","Away",2014-12-13
"Spring Hill","Away",2014-12-13
"UL Monroe","Away",2014-12-13
"Arlington Baptist","Away",2014-12-13
"Princeton","Away",2014-12-13
"BYU","Away",2014-12-13
"Cincinnati","Away",2014-12-13
"Purdue","Away",2014-12-13
"Tenn Tech","Away",2014-12-13
"NW Nazarene","Away",2014-12-13
"Utah State","Away",2014-12-13
"Gonzaga","Away",2014-12-13
"Seattle","Away",2014-12-13
"CS Fullerton","Away",2014-12-13
"Cal Poly","Away",2014-12-13
"Washington St","Away",2014-12-13
"UT-Arlington","Away",2014-12-13
"Army","Away",2014-12-13
"New Orleans","Away",2014-12-13
"Maryland","Home",2014-12-13
"Kentucky","Home",2014-12-13
"Detroit","Home",2014-12-13
"Georgetown","Home",2014-12-13
"Providence","Home",2014-12-13
"OSU","Home",2014-12-13
"VMI","Home",2014-12-13
"IUPUI","Home",2014-12-13
"Drexel","Home",2014-12-13
"Iona","Home",2014-12-13
"Ohio","Home",2014-12-13
"Pitt","Home",2014-12-13
"Liberty","Home",2014-12-13
"Presbyterian","Home",2014-12-13
"Arkansas","Home",2014-12-13
"URI","Home",2014-12-13
"Mt St Mary's","Home",2014-12-13
"Arizona State","Home",2014-12-13
"St Francis (BKN)","Home",2014-12-13
"Evansville","Home",2014-12-13
"Creighton","Home",2014-12-13
"Tulsa","Home",2014-12-13
"Wisconsin","Home",2014-12-13
"LA-Lafayette","Home",2014-12-13
"UMKC","Home",2014-12-13
"Kansas","Home",2014-12-13
"N Arizona","Home",2014-12-13
"UMass","Home",2014-12-13
"Bowling Green","Home",2014-12-13
"Missouri","Home",2014-12-13
"East Tenn St","Home",2014-12-13
"Robert Morris","Home",2014-12-13
"Air Force","Home",2014-12-13
"Colorado State","Home",2014-12-13
"Oregon State","Home",2014-12-13
"Portland State","Home",2014-12-13
"Ole Miss","Home",2014-12-13
"Green Bay","Home",2014-12-13
"ECU","Home",2014-12-13
"South Dakota St","Home",2014-12-13
"Austin Peay","Home",2014-12-13
"Indiana","Home",2014-12-13
"Abil Christian","Home",2014-12-13
"Texas A&M","Home",2014-12-13
"Arizona","Home",2014-12-13
"Memphis","Home",2014-12-13
"Colorado","Home",2014-12-13
"Stanford","Home",2014-12-13
"Richmond","Home",2014-12-13
"VCU","Home",2014-12-13
"Davidson","Home",2014-12-13
"Hartford","Home",2014-12-13
"SE Missouri St","Home",2014-12-13
"Toledo","Home",2014-12-13
"Akron","Home",2014-12-13
"Gardner-Webb","Home",2014-12-13
"Saint Louis","Home",2014-12-13
"Illinois","Home",2014-12-13
"LSU","Home",2014-12-13
"Siena","Home",2014-12-13
"MD-E Shore","Home",2014-12-13
"Texas","Home",2014-12-13
"Notre Dame","Home",2014-12-13
"TCU","Home",2014-12-13
"North Dakota St","Home",2014-12-13
"Loyola (CHI)","Home",2014-12-13
"UCF","Home",2014-12-13
"Oral Roberts","Home",2014-12-13
"South Dakota","Home",2014-12-13
"W Illinois","Home",2014-12-13
"Valparaiso","Home",2014-12-13
"E Illinois","Home",2014-12-13
"UT Pan American","Home",2014-12-13
"Southern Miss","Home",2014-12-13
"New Mexico","Home",2014-12-13
"Houston Baptist","Home",2014-12-13
"Cal","Home",2014-12-13
"Weber State","Home",2014-12-13
"Nebraska","Home",2014-12-13
"Vanderbilt","Home",2014-12-13
"Alabama","Home",2014-12-13
"Idaho State","Home",2014-12-13
"Utah Valley","Home",2014-12-13
"UCLA","Home",2014-12-13
"San Jose State","Home",2014-12-13
"Nevada","Home",2014-12-13
"Fresno State","Home",2014-12-13
"Santa Clara","Home",2014-12-13
"UC Irvine","Home",2014-12-13
"USC","Home",2014-12-13
"San Diego","Home",2014-12-13
"St Peter's","Away",2014-12-14
"Manhattan","Away",2014-12-14
"G Washington","Away",2014-12-14
"Quinnipiac","Away",2014-12-14
"Colgate","Away",2014-12-14
"Binghamton","Away",2014-12-14
"Wagner","Away",2014-12-14
"Temple","Away",2014-12-14
"Butler","Away",2014-12-14
"PV A&M","Away",2014-12-14
"Montana State","Away",2014-12-14
"Cincy Clermont","Away",2014-12-14
"FIU","Away",2014-12-14
"Campbell","Away",2014-12-14
"NC A&T","Away",2014-12-14
"Fordham","Away",2014-12-14
"Kent State","Away",2014-12-14
"Alabama A&M","Away",2014-12-14
"Coast Carolina","Away",2014-12-14
"Dartmouth","Away",2014-12-14
"NJIT","Away",2014-12-14
"Mitchell","Away",2014-12-14
"Illinois State","Away",2014-12-14
"Coppin State","Away",2014-12-14
"LA Tech","Away",2014-12-14
"Auburn","Away",2014-12-14
"Wofford","Away",2014-12-14
"Jacksonville","Away",2014-12-14
"North Texas","Away",2014-12-14
"Chicago State","Away",2014-12-14
"Marshall","Away",2014-12-14
"Longwood","Away",2014-12-14
"Miami (OH)","Away",2014-12-14
"UNC-Wilmington","Away",2014-12-14
"Southern","Away",2014-12-14
"Savannah State","Away",2014-12-14
"Montana","Away",2014-12-14
"Samford","Away",2014-12-14
"Miss Valley St","Away",2014-12-14
"Southern Utah","Away",2014-12-14
"E Washington","Away",2014-12-14
"W Michigan","Away",2014-12-14
"UNC Asheville","Away",2014-12-14
"Oakland","Away",2014-12-14
"Portland","Away",2014-12-14
"Seton Hall","Home",2014-12-14
"Rutgers","Home",2014-12-14
"Penn State","Home",2014-12-14
"Boston U","Home",2014-12-14
"UNH","Home",2014-12-14
"Boston College","Home",2014-12-14
"UVM","Home",2014-12-14
"Villanova","Home",2014-12-14
"Tennessee","Home",2014-12-14
"Texas Tech","Home",2014-12-14
"Wyoming","Home",2014-12-14
"N Kentucky","Home",2014-12-14
"FGCU","Home",2014-12-14
"Charleston","Home",2014-12-14
"Old Dominion","Home",2014-12-14
"St John's","Home",2014-12-14
"AR-Little Rock","Home",2014-12-14
"VT","Home",2014-12-14
"S Carolina St","Home",2014-12-14
"Jacksonville St","Home",2014-12-14
"LIU Brooklyn","Home",2014-12-14
"Sacred Heart","Home",2014-12-14
"DePaul","Home",2014-12-14
"UConn","Home",2014-12-14
"Syracuse","Home",2014-12-14
"Clemson","Home",2014-12-14
"NC State","Home",2014-12-14
"Florida","Home",2014-12-14
"SF Austin","Home",2014-12-14
"S Illinois","Home",2014-12-14
"West Virginia","Home",2014-12-14
"UMBC","Home",2014-12-14
"Wright State","Home",2014-12-14
"Louisville","Home",2014-12-14
"Iowa State","Home",2014-12-14
"Kansas State","Home",2014-12-14
"Milwaukee","Home",2014-12-14
"Wake Forest","Home",2014-12-14
"Northwestern","Home",2014-12-14
"Boise State","Home",2014-12-14
"Washington","Home",2014-12-14
"Pacific","Home",2014-12-14
"UAB","Home",2014-12-14
"Michigan State","Home",2014-12-14
"Sacramento St","Home",2014-12-14
"IUPUI","Away",2014-12-15
"Elon","Away",2014-12-15
"Ga Southern","Away",2014-12-15
"Appalachian St","Away",2014-12-15
"Tenn Tech","Away",2014-12-15
"Mount Vernon Nazaren","Away",2014-12-15
"Virginia-Wise","Away",2014-12-15
"Troy","Away",2014-12-15
"Champ. Baptist","Away",2014-12-15
"UT Martin","Away",2014-12-15
"NC Central","Away",2014-12-15
"Missouri State","Away",2014-12-15
"Jackson State","Away",2014-12-15
"UTSA","Away",2014-12-15
"Texas Southern","Away",2014-12-15
"Bethune-Cookman","Away",2014-12-15
"Cal Poly","Away",2014-12-15
"South Alabama","Away",2014-12-15
"Northwest (WA)","Away",2014-12-15
"Grambling St","Away",2014-12-15
"Howard","Home",2014-12-15
"Duke","Home",2014-12-15
"USF","Home",2014-12-15
"Georgia Tech","Home",2014-12-15
"North Florida","Home",2014-12-15
"Cleveland State","Home",2014-12-15
"Norfolk State","Home",2014-12-15
"Austin Peay","Home",2014-12-15
"Lamar","Home",2014-12-15
"UIC","Home",2014-12-15
"Memphis","Home",2014-12-15
"Oral Roberts","Home",2014-12-15
"Drake","Home",2014-12-15
"Texas A&M-CC","Home",2014-12-15
"Gonzaga","Home",2014-12-15
"Grand Canyon","Home",2014-12-15
"San Francisco","Home",2014-12-15
"Pepperdine","Home",2014-12-15
"Seattle","Home",2014-12-15
"Oregon State","Home",2014-12-15
"Oral Roberts","Away",2014-12-16
"UNC","Away",2014-12-16
"American U","Away",2014-12-16
"Susqueha","Away",2014-12-16
"Drexel","Away",2014-12-16
"Stetson","Away",2014-12-16
"N Kentucky","Away",2014-12-16
"East Tenn St","Away",2014-12-16
"Samford","Away",2014-12-16
"Joh. & Wales NC","Away",2014-12-16
"Belmont","Away",2014-12-16
"King  TN","Away",2014-12-16
"UC Irvine","Away",2014-12-16
"Truman St","Away",2014-12-16
"Dartmouth","Away",2014-12-16
"E Washington","Away",2014-12-16
"Ark Monticello","Away",2014-12-16
"Lipscomb","Away",2014-12-16
"Houston Baptist","Away",2014-12-16
"Akron","Away",2014-12-16
"Miss Valley St","Away",2014-12-16
"UNC Asheville","Away",2014-12-16
"Champ. Baptist","Away",2014-12-16
"Charleston","Away",2014-12-16
"LSU-Alexandria","Away",2014-12-16
"Savannah State","Away",2014-12-16
"Tennessee St","Away",2014-12-16
"Central Baptist","Away",2014-12-16
"Oakland","Away",2014-12-16
"Alabama","Away",2014-12-16
"Mid Tennessee","Away",2014-12-16
"Arizona State","Away",2014-12-16
"W Carolina","Away",2014-12-16
"SE Louisiana","Away",2014-12-16
"N Arizona","Away",2014-12-16
"Oklahoma","Home",2014-12-16
"UNC Greensboro","Home",2014-12-16
"La Salle","Home",2014-12-16
"Lafayette","Home",2014-12-16
"Buffalo","Home",2014-12-16
"FAU","Home",2014-12-16
"Chattanooga","Home",2014-12-16
"E Kentucky","Home",2014-12-16
"Presbyterian","Home",2014-12-16
"Radford","Home",2014-12-16
"VCU","Home",2014-12-16
"Marshall","Home",2014-12-16
"Morgan State","Home",2014-12-16
"Indiana State","Home",2014-12-16
"Mercer","Home",2014-12-16
"Sam Houston","Home",2014-12-16
"Nicholls State","Home",2014-12-16
"Texas","Home",2014-12-16
"Houston","Home",2014-12-16
"North Dakota St","Home",2014-12-16
"N Illinois","Home",2014-12-16
"Jacksonville St","Home",2014-12-16
"Southern","Home",2014-12-16
"Charlotte","Home",2014-12-16
"McNeese State","Home",2014-12-16
"Tulane","Home",2014-12-16
"S Illinois","Home",2014-12-16
"UL Monroe","Home",2014-12-16
"Arizona","Home",2014-12-16
"Wichita State","Home",2014-12-16
"Oklahoma State","Home",2014-12-16
"Marquette","Home",2014-12-16
"Vanderbilt","Home",2014-12-16
"UTEP","Home",2014-12-16
"Saint Mary's","Home",2014-12-16
"Langston","Away",2014-12-17
"Delaware State","Away",2014-12-17
"NC A&T","Away",2014-12-17
"Manhattan","Away",2014-12-17
